Engine Category ,Brand,Type Model,Engine Capacity,Transmission,FUEL,Seater,Door,CKD/CBU,Origin Country,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OKT,NOV,DES,TOTAL
CC ≤ 1.200 [G],DAIHATSU,All  New Ayla 1.0 X MT  (FMC 2023),998.0,MT,Gasoline,5,5,CKD,Indonesia,2023,0,0,937,228,553,1197,333,722,753,575,632,679,6609
CC ≤ 1.200 [G],DAIHATSU,All  New Ayla 1.0 X CVT  (FMC 2023),998.0,CVT,Gasoline,5,5,CKD,Indonesia,2023,0,0,862,99,418,819,63,2,103,275,286,234,3161
CC ≤ 1.200 [G],DAIHATSU,All  New Ayla 1.2 R MT  (FMC 2023),1.198,MT,Gasoline,5,5,CKD,Indonesia,2023,0,0,618,747,596,477,226,249,87,77,55,150,3282
CC ≤ 1.200 [G],DAIHATSU,All  New Ayla 1.2 R CVT  (FMC 2023),1.198,CVT,Gasoline,5,5,CKD,Indonesia,2023,0,0,489,625,630,256,238,356,142,73,42,40,2891
CC ≤ 1.200 [G],DAIHATSU,New Sigra 1.0 D MT  2022,998.0,MT,Gasoline,7,5,CKD,Indonesia,2023,870,1001,1378,399,1036,1010,1057,1421,1185,1187,1451,913,12908
CC ≤ 1.200 [G],DAIHATSU,New Sigra 1.0 M  MT  2022,998.0,MT,Gasoline,7,5,CKD,Indonesia,2023,899,748,1435,426,971,827,1128,1347,1205,1196,1347,924,12453
CC ≤ 1.200 [G],DAIHATSU,New Sigra 1.2 X MT  2022,1.197,MT,Gasoline,7,5,CKD,Indonesia,2023,474,486,168,289,400,310,230,369,343,323,353,399,4144
CC ≤ 1.200 [G],DAIHATSU,New Sigra 1.2 X AT  2022,1.197,AT,Gasoline,7,5,CKD,Indonesia,2023,148,124,100,50,186,142,91,150,121,122,104,68,1406
CC ≤ 1.200 [G],DAIHATSU,New Sigra 1.2 R MT  2022,1.197,MT,Gasoline,7,5,CKD,Indonesia,2023,3638,2409,1553,1154,2112,2694,1952,2803,2010,1715,1494,1972,25506
CC ≤ 1.200 [G],DAIHATSU,New Sigra 1.2 R AT  2022,1.197,AT,Gasoline,7,5,CKD,Indonesia,2023,615,382,393,322,642,375,308,538,451,535,437,337,5335
CC ≤ 1.200 [G],HONDA,Brio SATYA S,1.198,MT,Gasoline,5,5,CKD,Indonesia,2023,180,180,180,0,171,247,179,236,223,309,315,34,2254
CC ≤ 1.200 [G],HONDA,Brio SATYA E,1.198,MT,Gasoline,5,5,CKD,Indonesia,2023,1797,1322,1621,0,1282,1283,1320,1562,1407,1353,1275,1107,15329
CC ≤ 1.200 [G],HONDA,Brio SATYA E,1.198,AT,Gasoline,5,5,CKD,Indonesia,2023,4518,3214,4797,611,1036,3052,3364,3371,3368,3536,3275,1067,35209
CC ≤ 1.200 [G],TOYOTA,New Agya 1.2 G Mi  2020,1.197,MT,Gasoline,5,5,CKD,Indonesia,2023,15,12,0,0,0,0,0,0,0,0,0,0,27
CC ≤ 1.200 [G],TOYOTA,New Agya 1.2 G AT  Mi  2020,1.197,AT,Gasoline,5,5,CKD,Indonesia,2023,4,5,0,0,0,0,0,0,0,0,0,0,9
CC ≤ 1.200 [G],TOYOTA,New Agya 1.2 GR Sport 2021,1.197,MT,Gasoline,5,5,CKD,Indonesia,2023,802,384,5,0,0,0,0,0,1,2,0,0,1194
CC ≤ 1.200 [G],TOYOTA,New Agya 1.2 GR Sport AT  2021,1.197,AT,Gasoline,5,5,CKD,Indonesia,2023,826,405,6,0,0,0,0,0,0,0,0,0,1237
